label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,net_type,task_id,adv_id,creat_type_cd,adv_prim_id,inter_type_cd,slot_id,site_id,spread_app_id,hispace_app_tags,app_second_class,app_score,pt_d,u_newsCatInterestsST,u_refreshTimes,u_feedLifeCycle
1,5,2,16,352,2,34,7,19,224,1821,7,25753,18653,8,1316,4,38,1,347,26,20,10.0,202206060409,0,0,16
1,8,2,17,254,5,11,8,32,301,2401,3,35520,11059,2,1913,3,62,1,213,18,23,0.0,202206060522,0,3,17
1,6,4,33,319,3,27,2,11,200,2401,4,31686,15238,8,1690,5,54,1,101,19,18,10.0,202206081122,0,7,17
1,5,2,21,424,5,34,7,21,200,2401,7,35422,13904,8,1537,4,26,1,197,46,15,10.0,202206080941,0,2,10
1,5,2,20,372,5,30,3,28,278,1555,7,35422,12785,8,1537,4,22,1,197,46,15,10.0,202206030345,0,4,11
1,7,2,46,206,2,21,4,12,310,2231,4,29852,17986,7,2056,3,21,1,213,18,23,0.0,202206031232,0,9,17
1,7,2,18,297,5,31,3,21,210,1966,7,29996,18524,8,1518,4,13,1,114,43,18,10.0,202206070324,0,9,17
1,2,2,19,151,4,34,7,21,304,2438,7,11923,21714,8,1060,4,38,1,344,20,13,10.0,202206050352,0,0,10
1,5,2,18,324,2,11,8,32,226,2401,7,35086,15748,8,2057,5,62,1,141,14,17,10.0,202206080815,1,0,15
1,6,4,33,319,3,27,2,11,240,2231,7,31116,18353,8,1827,5,35,1,325,26,20,10.0,202206030711,0,0,16
1,2,2,33,319,3,17,4,20,173,1242,7,33849,17184,8,1837,4,28,1,152,49,17,10.0,202206060414,0,0,16
1,7,3,16,310,2,32,6,19,141,2117,7,29996,18524,8,1518,4,42,1,114,43,18,10.0,202206060103,1,0,16
1,7,2,14,154,2,21,4,16,293,2020,6,25970,22191,8,1223,5,67,1,162,47,14,10.0,202206030537,0,7,17
1,7,3,14,300,2,36,2,21,116,2401,7,30034,22585,3,1234,4,18,1,191,51,16,10.0,202206040958,1,0,13
1,3,4,33,319,3,16,5,35,321,2469,7,25802,18286,8,1037,4,38,1,327,12,29,10.0,202206050755,0,2,17
1,7,3,45,371,5,30,3,28,344,2117,7,30157,10974,8,2066,4,50,1,114,43,18,10.0,202206030840,0,8,17
1,6,4,33,319,3,27,2,11,278,1555,7,34610,19612,8,2035,4,59,1,168,43,18,10.0,202206030211,0,4,17
1,8,2,45,311,2,30,3,21,319,2117,7,29996,18524,8,1518,4,22,1,114,43,18,10.0,202206090918,0,8,17
1,8,2,11,169,2,31,3,20,122,2117,7,27955,23283,8,1518,4,22,1,114,43,18,10.0,202206040904,1,0,15
1,7,2,20,372,5,30,3,35,278,1555,7,14483,16105,8,1036,4,22,1,312,43,18,10.0,202206040318,0,2,17
1,8,2,30,113,5,16,5,21,127,2401,7,30764,15023,8,1227,5,42,1,162,47,14,10.0,202206091243,0,5,17
1,4,2,16,212,5,30,3,35,319,2032,6,20048,10414,8,2001,5,13,1,162,47,14,10.0,202206040633,1,9,17
1,5,2,17,254,5,12,8,19,203,1447,7,28621,15752,8,1203,4,38,1,162,47,14,10.0,202206040826,0,0,16
1,8,2,16,212,5,30,3,13,272,2118,6,11580,10450,10,1982,5,30,1,240,12,29,10.0,202206030906,0,8,17
1,3,2,45,382,2,19,6,30,228,2438,7,30157,10974,8,2066,4,17,1,114,43,18,10.0,202206051016,0,3,17
1,8,2,20,321,2,31,3,20,248,2117,7,30157,10974,8,2066,4,50,1,114,43,18,10.0,202206051127,0,0,10
1,2,2,26,380,4,31,3,21,298,1966,6,31162,12077,8,1056,5,17,1,190,47,14,10.0,202206091100,0,7,17
1,7,3,40,438,3,21,4,16,349,2401,7,33257,13886,8,1036,4,63,1,312,43,18,10.0,202206070718,0,9,17
1,7,2,20,328,5,34,7,21,136,2401,7,32551,21221,2,1913,3,54,1,213,18,23,0.0,202206041031,0,7,17
1,3,2,32,179,5,32,6,29,207,2353,7,21493,15213,8,1036,4,47,1,312,43,18,10.0,202206050742,0,4,17
1,8,2,42,279,2,16,5,28,240,2431,7,33486,15513,2,1151,3,38,1,213,18,23,0.0,202206080547,0,0,16
1,3,4,42,195,2,24,2,23,305,1134,7,26032,20202,8,1714,5,38,1,162,47,14,10.0,202206030827,0,7,17
1,3,2,41,359,2,30,3,28,344,2468,7,26167,14971,8,1837,4,22,1,152,49,17,10.0,202206030915,0,4,17
1,3,2,19,151,4,32,6,29,207,2338,6,22071,18780,8,1098,4,38,1,206,12,29,10.0,202206060655,0,0,11
1,8,2,45,398,2,17,4,30,112,1505,7,27239,15985,8,1036,4,20,1,312,43,18,10.0,202206050819,0,8,17
1,3,2,20,441,2,19,6,30,228,1284,6,25439,17019,8,1858,5,38,1,190,47,14,10.0,202206091221,0,5,17
1,5,2,13,225,2,32,6,20,229,2117,7,10519,20995,8,1669,4,34,1,344,20,13,10.0,202206070735,0,0,17
1,5,2,33,319,3,34,7,21,115,1505,4,11923,21714,8,1060,4,54,1,344,20,13,10.0,202206060343,0,9,17
1,8,2,45,419,2,30,3,13,211,2397,7,28511,14399,8,1036,4,22,1,312,43,18,10.0,202206060419,0,0,15
1,8,2,18,386,2,11,8,32,216,2401,7,10653,13957,8,1036,4,34,1,312,43,18,10.0,202206070811,0,2,15
1,7,2,46,133,2,26,7,35,138,2117,4,34352,10502,8,1575,5,37,1,162,47,14,10.0,202206030218,0,0,16
1,7,2,16,355,2,34,7,21,219,1505,7,30157,10974,8,2066,4,54,1,114,43,18,10.0,202206080719,0,7,17
1,7,2,26,172,2,30,3,35,351,1811,7,21493,15213,8,1036,4,17,1,312,43,18,10.0,202206050137,1,9,17
1,7,2,46,201,2,32,6,19,312,2117,7,31706,12646,8,1036,4,40,1,312,43,18,10.0,202206090759,1,0,11
1,7,2,19,407,2,11,8,36,299,1570,6,28252,19065,8,1830,5,28,1,162,47,14,10.0,202206090327,0,4,17
1,3,4,13,430,2,14,6,23,357,2158,6,24368,22289,8,1597,4,38,1,162,47,14,10.0,202206030914,1,0,11
1,8,2,13,191,4,30,3,28,278,1555,7,35137,10140,8,1381,4,22,1,250,49,23,0.0,202206080707,0,3,17
1,6,4,33,319,3,27,2,11,216,2438,7,10653,13957,8,1036,4,67,1,312,43,18,10.0,202206070816,0,8,17
1,8,3,20,170,4,15,6,16,290,1413,6,14995,18938,8,1561,5,65,1,322,41,25,10.0,202206080150,0,9,17
1,6,4,33,319,3,27,2,11,153,1570,7,19162,17832,8,1220,4,38,1,280,49,17,10.0,202206060328,0,4,17
1,3,2,25,250,4,17,4,30,328,2438,7,21664,17156,8,1823,5,38,1,190,47,14,10.0,202206081021,0,7,17
1,8,2,26,380,4,32,6,19,141,2117,4,20275,23260,8,1076,5,47,1,190,47,23,0.0,202206071159,0,0,16
1,8,3,18,297,5,31,3,20,346,2117,7,22719,17754,8,1518,4,35,1,114,43,18,10.0,202206040239,0,2,10
1,8,2,21,220,5,31,3,21,210,1966,6,24893,12606,4,1236,3,65,1,213,18,23,0.0,202206081206,0,5,17
1,5,2,19,199,4,32,6,19,312,2519,7,33486,15513,2,1151,3,38,1,213,18,23,0.0,202206090430,0,0,16
1,5,2,26,341,2,34,7,20,166,1555,4,18849,23099,8,1161,5,40,1,322,41,25,10.0,202206070117,0,0,16
1,7,2,16,212,5,34,7,20,326,2032,7,32039,22825,8,1611,4,38,1,372,20,13,10.0,202206041102,0,4,17
1,9,2,20,328,5,34,7,20,322,1815,7,18706,17700,5,1611,4,53,1,372,20,13,10.0,202206081046,0,9,17
1,7,2,20,372,5,16,5,28,240,2231,7,17208,17392,7,2056,3,47,1,213,18,23,0.0,202206050813,0,0,16
1,8,2,37,173,4,16,5,35,324,2469,7,25955,11034,8,1898,5,38,1,162,47,14,10.0,202206090143,1,4,17
1,3,4,18,365,2,11,8,29,109,1656,6,33296,15216,8,1492,5,28,1,162,47,14,10.0,202206070718,0,8,17
1,3,2,18,417,2,31,3,11,276,1819,7,10088,13625,8,1026,5,13,1,176,26,23,0.0,202206060123,0,5,17
1,7,2,16,185,2,30,3,28,117,1263,7,17125,20124,8,1569,4,17,1,301,47,14,10.0,202206091022,0,9,17
1,5,2,13,347,2,16,5,21,225,2438,7,31706,12646,8,1036,4,12,1,312,43,18,10.0,202206040958,0,8,17
1,6,4,33,319,3,27,2,11,168,2032,7,31422,20863,8,1302,5,12,1,190,47,14,10.0,202206050612,0,9,17
1,5,2,11,388,2,15,6,16,307,1505,7,18800,17828,8,1036,4,62,1,312,43,18,10.0,202206050220,0,4,17
1,3,2,45,311,2,30,3,11,343,2353,7,19847,23021,8,1532,4,22,1,168,43,18,10.0,202206030757,0,3,17
1,5,2,21,434,5,34,7,20,313,1570,7,25769,13578,10,1301,5,14,1,162,47,14,10.0,202206030918,0,2,17
1,3,2,42,236,2,31,3,21,151,2117,7,22719,17754,8,1518,4,35,1,114,43,18,10.0,202206050122,0,7,17
1,5,2,32,387,2,15,6,16,307,1505,7,25537,20093,8,1036,4,64,1,312,43,18,10.0,202206050107,1,0,12
1,2,2,25,141,2,31,3,20,122,2117,4,33167,10262,8,1005,4,59,1,309,20,13,10.0,202206060826,1,0,15
1,8,2,19,348,2,34,7,21,136,2401,7,31186,22510,8,1683,4,35,1,350,39,15,10.0,202206061026,0,4,17
1,5,2,30,113,5,16,5,20,220,2431,7,13448,13177,8,1142,4,12,1,240,12,29,10.0,202206071020,0,5,17
1,2,2,19,199,4,11,8,20,142,2401,4,15663,12384,8,1492,5,35,1,162,47,14,10.0,202206040702,0,4,11
1,6,4,33,319,3,27,2,11,194,1919,6,19474,21876,8,2051,5,13,1,186,15,22,10.0,202206030740,0,5,11
1,6,4,33,319,3,27,2,11,151,2117,3,18575,18200,8,1065,5,50,1,199,49,17,10.0,202206030151,0,2,17
1,8,2,13,347,2,17,4,30,112,1505,7,34403,14516,8,1637,4,40,1,152,49,17,10.0,202206090628,0,4,17
1,6,4,33,319,3,27,2,11,124,1570,6,33039,22918,8,1939,4,38,1,192,44,17,10.0,202206060819,1,0,16
1,5,2,27,162,5,17,4,18,288,2032,7,18095,11909,8,1837,4,28,1,152,49,17,10.0,202206050546,0,8,17
1,3,4,45,371,5,14,6,23,357,2383,7,30157,10974,8,2066,4,17,1,114,43,18,10.0,202206080129,0,7,17
1,7,2,16,310,2,31,3,20,248,2117,7,20359,20544,8,1518,4,22,1,114,43,18,10.0,202206060659,1,2,17
1,3,2,34,278,5,19,6,30,228,1505,7,20013,15230,8,1637,4,40,1,152,49,17,10.0,202206071218,0,2,17
1,7,2,45,435,2,11,8,36,299,2541,7,11908,16134,8,1694,5,28,1,332,47,14,10.0,202206040129,0,7,17
1,7,3,13,271,2,31,3,20,346,2117,7,24457,21280,8,2066,4,59,1,114,43,18,10.0,202206060931,0,2,11
1,7,2,25,307,2,16,5,28,189,2117,4,19502,19904,8,1098,4,47,1,206,12,29,10.0,202206080413,0,0,10
1,6,4,33,319,3,27,2,11,344,2117,7,20896,12124,8,1669,4,22,1,344,20,13,10.0,202206050937,1,0,11
1,8,2,18,186,2,32,6,32,187,1186,6,16140,18975,3,1082,5,28,1,336,44,17,10.0,202206061247,0,9,17
1,8,2,26,380,4,16,5,35,191,2431,7,27520,18980,7,1044,3,14,1,213,18,23,0.0,202206071200,0,2,11
1,9,2,18,409,2,32,6,19,312,1135,7,14831,16025,8,1611,4,67,1,372,20,13,10.0,202206031117,0,0,16
1,3,4,31,366,2,34,7,20,217,2401,7,13546,11426,3,1482,4,34,1,257,49,17,10.0,202206061128,0,9,17
1,3,2,28,294,2,26,7,35,138,1570,7,24372,16598,8,1314,5,65,1,246,47,14,10.0,202206080422,0,2,11
1,5,2,21,360,2,21,4,12,310,2579,7,15889,11490,8,1404,5,28,1,190,47,23,0.0,202206091249,0,7,17
1,5,2,42,295,2,32,6,21,229,2117,7,33257,13886,8,1036,4,62,1,312,43,18,10.0,202206080132,0,3,15
1,3,2,37,269,2,11,8,29,337,1881,7,35008,16208,8,1535,4,25,1,168,43,18,10.0,202206040111,1,0,13
1,5,2,11,137,2,34,7,20,313,1815,4,25955,13824,8,1898,5,54,1,162,47,14,10.0,202206050108,0,0,11
1,2,2,46,354,2,19,6,30,228,2438,7,22808,14487,3,1114,5,38,1,162,47,14,10.0,202206080945,0,5,17
1,6,4,33,319,3,27,2,11,210,1966,7,14404,20934,10,1731,4,16,1,301,47,14,10.0,202206090934,0,9,17
1,3,2,46,219,2,16,5,21,170,2401,7,29412,15308,8,1036,4,54,1,312,43,18,10.0,202206060806,0,4,17
1,9,2,30,113,5,17,4,20,173,1744,7,14098,18626,8,1535,4,34,1,168,43,18,10.0,202206060530,0,8,17
1,5,2,34,177,2,32,6,19,312,2117,7,25537,20093,8,1036,4,47,1,312,43,18,10.0,202206071220,0,0,16
1,3,2,45,311,2,19,6,30,228,2438,7,20072,13082,8,1220,4,17,1,280,49,17,10.0,202206050706,0,0,11
1,7,2,16,355,2,34,7,21,115,1505,4,18255,18525,8,1373,5,54,1,162,47,14,10.0,202206030726,0,7,17
1,2,2,27,162,5,16,5,21,183,2401,7,15319,22414,8,2066,4,54,1,114,43,18,10.0,202206051025,1,0,11
1,3,2,30,113,5,16,5,11,107,1881,7,17972,12977,8,2041,5,37,1,162,47,14,10.0,202206080122,0,7,17
1,8,2,14,300,2,30,3,28,278,1555,7,22100,18060,10,1486,4,23,1,344,20,13,10.0,202206070854,1,0,11
1,5,2,16,391,2,34,7,20,137,1656,7,14085,19428,8,1005,4,38,1,309,20,13,10.0,202206051250,0,6,17
1,3,2,20,372,5,34,7,21,136,2401,7,28401,16658,7,1391,3,52,1,213,18,23,0.0,202206060453,0,4,17
1,5,2,29,207,4,31,3,13,298,2177,3,19322,23360,8,1106,5,50,1,240,12,29,10.0,202206070835,0,5,11
1,7,2,20,167,2,16,5,13,168,2032,7,21493,15213,8,1036,4,38,1,312,43,18,10.0,202206061017,0,4,11
1,3,3,32,179,5,16,5,19,189,2117,7,35422,12785,8,1537,4,40,1,197,46,15,10.0,202206040320,0,5,17
1,3,2,23,262,4,30,3,13,265,2353,7,24793,15740,8,1098,4,50,1,206,12,23,0.0,202206060820,0,0,13
1,6,4,33,319,3,27,2,11,272,2485,7,17041,18986,8,1506,4,13,1,235,25,16,10.0,202206081251,0,9,17
1,4,2,21,424,5,11,8,36,299,2032,7,14061,11118,8,1858,5,58,1,190,47,14,10.0,202206091037,0,0,15
1,5,2,16,120,4,17,4,20,139,1815,7,31777,10491,10,1060,4,34,1,344,20,13,10.0,202206050134,0,9,17
1,8,2,20,328,5,23,6,28,245,2117,7,13587,14071,3,1619,4,40,1,257,49,17,10.0,202206070243,0,0,16
1,8,2,30,113,5,16,5,13,334,2117,7,14896,15930,8,1482,4,43,1,257,49,17,10.0,202206080944,0,8,17
1,2,2,17,184,4,30,3,13,211,2397,7,33167,10262,8,1005,4,22,1,309,20,13,10.0,202206050120,0,9,17
1,5,2,21,232,2,31,3,13,248,2117,7,35422,13904,8,1537,4,22,1,197,46,15,10.0,202206090900,0,3,17
1,8,2,20,170,4,16,5,19,164,1992,6,13386,15051,8,1363,5,12,1,317,39,15,10.0,202206070333,0,0,16
1,7,2,21,424,5,30,3,35,123,2397,7,22865,12548,8,1005,4,50,1,309,20,13,10.0,202206071137,0,8,17
1,3,2,18,297,5,34,7,21,244,2401,7,11208,18100,6,1368,5,46,1,325,26,20,10.0,202206050226,1,0,11
1,7,2,34,278,5,32,6,19,312,2519,7,35422,13904,8,1537,4,38,1,197,46,15,10.0,202206030317,1,0,16
1,5,2,39,429,5,16,5,28,240,2361,6,29747,22570,8,1026,5,12,1,176,26,23,0.0,202206060123,0,0,17
1,2,2,16,310,2,11,8,36,302,2117,7,33422,19818,8,1036,4,54,1,312,43,18,10.0,202206041135,0,7,11
1,2,2,16,310,2,34,7,21,200,2401,7,19772,15249,7,1044,3,54,1,213,18,23,0.0,202206061032,0,8,17
1,7,2,41,106,2,21,4,12,310,2231,4,28401,16658,7,1391,3,34,1,213,18,23,0.0,202206040501,0,0,11
1,8,2,17,343,5,30,3,35,319,2032,7,27573,10957,10,1109,4,16,1,250,49,17,10.0,202206040859,1,9,17
1,6,4,33,319,3,27,2,11,229,2117,7,34041,13608,8,1036,4,63,1,312,43,18,10.0,202206090959,0,8,17
1,5,2,24,431,5,34,7,20,153,1815,4,26038,13952,3,1082,5,54,1,336,44,17,10.0,202206071112,1,4,17
1,6,4,33,319,3,27,2,11,298,1966,7,29135,16983,8,1535,4,13,1,168,43,18,10.0,202206070855,0,7,17
1,7,2,20,328,5,30,3,28,278,1555,7,14277,13852,8,1041,5,59,1,246,47,14,10.0,202206050114,0,7,11
1,5,2,41,135,5,32,6,32,188,2401,4,31517,18851,8,1220,4,62,1,280,49,17,10.0,202206031027,1,0,10
1,7,2,46,219,2,17,4,20,173,1744,7,11911,13930,8,1036,4,64,1,312,43,18,10.0,202206060123,0,0,12
1,3,4,20,194,2,11,8,29,213,1603,7,36169,20517,8,1535,4,64,1,168,43,18,10.0,202206091237,1,0,15
1,7,2,26,329,2,32,6,20,229,2117,7,32058,15976,8,1005,4,63,1,309,20,13,10.0,202206070925,0,6,17
1,8,2,17,343,5,32,6,32,187,1186,7,21805,19620,8,1094,5,17,1,350,39,15,10.0,202206081212,0,9,17
1,8,3,21,397,2,21,4,30,338,1881,7,22719,17754,8,1518,4,35,1,114,43,18,10.0,202206030133,0,4,11
1,3,4,34,278,5,24,2,23,311,1603,7,10653,13957,8,1036,4,40,1,312,43,18,10.0,202206060927,0,7,17
1,6,4,33,319,3,27,2,11,272,1840,6,21324,18327,8,1031,5,17,1,141,14,17,10.0,202206071042,0,8,17
1,8,2,19,199,4,16,5,21,183,1186,7,31706,12646,8,1036,4,38,1,312,43,18,10.0,202206080906,0,0,11
1,5,2,19,407,2,17,4,20,139,1570,7,17125,20124,8,1569,4,28,1,301,47,14,10.0,202206080813,0,5,17
1,6,4,33,319,3,27,2,11,137,1656,7,28399,17918,10,1619,4,16,1,257,49,17,10.0,202206081213,0,5,17
1,7,2,17,343,5,31,3,20,248,1033,7,30886,22443,7,1044,3,30,1,213,18,23,0.0,202206070113,0,7,17
1,8,2,16,258,2,34,7,21,200,2401,7,31706,12646,8,1036,4,54,1,312,43,18,10.0,202206070931,1,0,10
1,5,2,20,167,2,17,4,20,139,1815,7,19427,15432,8,1036,4,54,1,312,43,18,10.0,202206030617,1,0,10
1,3,2,12,125,4,19,6,30,228,1786,7,14737,13654,8,1126,4,38,1,305,48,29,10.0,202206030428,0,1,11
1,3,2,27,162,5,11,8,29,109,2032,7,11412,17503,8,1291,4,28,1,168,43,18,10.0,202206060325,0,2,17
1,8,2,18,168,2,31,3,21,151,2103,7,31941,21695,8,1036,4,13,1,312,43,18,10.0,202206031012,0,9,17
1,4,2,13,225,2,34,7,20,217,2401,4,20081,18355,6,1223,5,46,1,162,47,14,10.0,202206040925,1,0,11
1,8,2,20,167,2,16,5,20,334,2032,6,20831,21499,8,1336,5,38,1,246,47,14,10.0,202206091224,0,6,11
1,2,3,23,262,4,16,5,35,191,2231,7,19427,15432,8,1036,4,54,1,312,43,18,10.0,202206050615,0,0,13
1,6,4,33,319,3,27,2,11,298,1966,7,14772,12743,10,1783,4,16,1,181,26,20,10.0,202206080352,0,9,17
1,3,2,20,224,2,16,5,11,176,2117,7,35250,20294,8,1036,4,40,1,312,43,18,10.0,202206080425,0,0,11
1,8,3,41,135,5,16,5,13,168,2032,7,31941,21695,8,1036,4,38,1,312,43,18,10.0,202206040745,0,8,17
1,2,2,29,207,4,30,3,13,265,1455,7,17020,17973,8,1036,4,17,1,312,43,18,10.0,202206050937,0,6,17
1,8,2,41,277,2,30,3,35,319,2117,7,33009,22194,8,1518,4,35,1,114,43,18,10.0,202206090722,1,2,15
1,2,2,26,239,2,11,8,32,226,1186,6,16140,18975,3,1082,5,28,1,336,44,17,10.0,202206061158,0,7,17
1,8,2,31,190,3,36,2,21,116,2401,4,12004,15813,8,1081,5,26,1,121,47,14,10.0,202206081007,0,2,17
1,9,2,42,188,2,16,5,20,202,2032,6,32148,10998,8,1041,5,38,1,246,47,14,10.0,202206040325,0,0,15
1,7,2,46,354,2,11,8,36,299,1570,7,33072,13993,8,1019,5,17,1,240,12,29,10.0,202206091122,0,9,17
1,2,2,41,412,2,32,6,19,141,2519,7,28290,13224,8,1036,4,38,1,312,43,18,10.0,202206031140,1,0,16
